authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"J. Mueller","T. Liebrecht",,43315,M.,Ivanov,M.,Böhme,,2011,"Snakes from Griesbeckerzell (Langhian, Early Badenian), North Alpine Foreland Basin (Germany), with comments on the evolution of snake faunas in Central Europe during the Miocene Climatic Optimum",Geodiversitas,,33,3,411,449,"journal article","stated without evidence",English,10.5252/g2011n3a2,,,,"2012-10-19 06:54:03","2012-10-19 06:54:03"
"A. Turner","H. O'Regan","H. O'Regan",9534,D.,Janossy,,,,1986,"Pleistocene vertebrate faunas of Hungary","Developments in Palaeontology and Stratigraphy, 8. Elsevier, Amsterdam",,,,1,208,"book/book chapter","stated without evidence",,,,PACED,,"2003-12-03 08:22:18","2003-12-04 03:22:18"
"J. Alroy","S. Kuemmell","S. Kuemmell",12100,A.,Jerzmanska,,,,1977,"The freshwater fishes from the Middle Eocene of Geiseltal","Martin-Luther-Universität Halle-Wittenberg, Wissenschaftliche Beiträge (P5)",,1977,2,41,65,"journal article","stated without evidence",,,,,,"2004-11-30 00:02:14","2004-11-30 19:02:14"
"J. Alroy","E. Leckey","J. Alroy",12480,"W. G.",Joyce,N.,Klein,"T. Mors",2004,"Carettochelyine turtle from the Neogene of Europe",Copeia,,2004,2,406,411,"journal article","stated without evidence",English,,,,,"2005-01-27 14:10:38","2006-08-13 15:47:19"
"R. Benson","R. Benson","J. Tennant",38095,H.-V.,Karl,J.,Milan,"G. Tichy",2012,"New shell remains of Peltochelys duchastelli (Dollo, 1884) from Western Europe and the rise of trionychids (Testudines: Trionychoidea)","Studia Palaeocheloniologica",,4,,87,106,"journal article","stated with evidence",English,,,,,"2011-10-11 02:26:02","2013-01-10 06:19:55"
"M. Carrano","M. Carrano",,34262,"K. A.",Kermack,"D. M.",Kermack,"P. M. Lees, J. R. E. Mills",1998,"New multituberculate-like teeth from the Middle Jurassic of England","Acta Palaeontologica Polonica",,43,4,581,606,"journal article","stated with evidence",English,,,ETE,,"2010-11-17 03:20:07","2010-11-17 03:20:07"
"P. Mannion","J. Tennant",,49994,"K. A.",Kermack,"A. J.",Lee,"P. M. Lees, F. Mussett",1987,"A new docodont from the Forest Marble","Zoological Journal of the Linnean Society",,89,,1,39,"journal article","stated with evidence",English,,,,,"2014-01-31 06:23:47","2014-01-31 23:23:47"
"J. Alroy","E. Leckey","E. Leckey",7707,Z.,Kielan-Jaworowska,"P. C.",Ensom,,1992,"Multituberculate mammals from the Upper Jurassic Purbeck Limestone Formation of southern England",Palaeontology,,35,1,95,126,"journal article","stated without evidence",English,,,5%,16620,"2003-01-28 15:02:23","2003-01-29 10:02:23"
"R. Benson","R. Benson",,38908,Z.,Kielan-Jaworowska,"P. C.",Ensom,,1994,"Tiny plagiaulacoid mammals from the Purbeck Limestone Formation of Dorset, England",Palaeontology,,37,1,17,31,"journal article","stated with evidence",English,,,,,"2011-12-19 20:44:35","2011-12-19 20:44:35"
"J. Alroy","E. Leckey","E. Leckey",12479,N.,Klein,T.,Mors,,2003,"Die Schildkroten (Reptilia: Testudines) aus dem Mittel-Miozan von Hambach (Niederrheinische Bucht, NW-Deutschland)","Palaeontographica Abteilung A",,268,1-3,1,48,"journal article","stated without evidence",German,,,,,"2005-01-27 13:47:31","2005-01-28 08:47:31"
"R. Butler","J. Moreno",,56791,J.,Klembara,M.,Böhme,"M. Rummel",2010,"Revision of the anguine lizard Pseudopus laurillardi (Squamata, Anguidae) from the Miocene of Europe, with comments on paleoecology","Journal of Paleontology",,84,2,159,196,"journal article","stated with evidence",English,,,,,"2015-10-28 05:01:23","2015-10-28 21:01:23"
"M. Uhen","M. Uhen",,16732,"I. A.",Koretsky,P.,Holec,,2002,"A primitive seal (Mammalia: Phocidae) from the early middle Miocene of central Paratethys","Smithsonian Contributions to Paleobiology",,93,,163,178,"journal article","stated without evidence",English,,,,,"2006-03-03 09:31:41","2006-03-04 04:31:46"
"M. Uhen","M. Uhen",,58882,"I. A.",Koretsky,"S. J.",Rahmat,,2015,"A new species of the Subfamily Devinophocinae (Carnivora, Phocidae) from the Central Paratethys","&#65532;Rivista Italiana di Paleontologia e Stratigrafia",,121,1,31,47,"journal article","stated without evidence",English,,,,,"2016-04-13 16:44:38","2016-04-14 07:44:38"
"A. Turner","H. O'Regan","H. O'Regan",13151,T.,Kotsakis,,,,1986,"Elementi di paleobiogeographia dei mammiferi Terziari dell Italia.",Hystrix,,1,,25,68,"journal article","stated without evidence",Italian,,,PACED,,"2005-04-12 07:24:36","2005-04-13 00:24:36"
"A. Turner","H. O'Regan","H. O'Regan",13182,T.,Kotsakis,L.,Abbazzi,"C. Angelone, P. Argenti, G. Barisone, F. Fanfari, F. Marcolini, F. Masini",2003,"Plio-Pleistocene biogeography of Italian mainland micromammals",Deinsea,,10,,313,342,"journal article","stated without evidence",English,,,PACED,,"2005-04-14 08:13:05","2005-04-15 01:13:05"
"M. Clapham","M. Manojlovic","M. Clapham",49760,A.,Kroh,,,,2003,"The Brachiopoda of the Langhian (Lower Badenian) of the Molasse Zone and northern Vienna Basin (Austria","Annalen des Naturhistorischen Museums in Wien, Serie A",,104,,145,153,"journal article","stated with evidence",English,,,,,"2014-01-07 18:13:58","2015-06-13 10:41:30"
"J. Alroy","S. Kuemmell","S. Kuemmell",11716,G.,Krumbiegel,,,,1977,"Genese, Palökologie und Biostratigraphie der Fossilfundstellen im Eozän des Geiseltales/1 (Origin, paleoecology and biostratigraphy of the fossil localities in the Eocene Geiseltal)","Wissenschaftliche Beiträge der Martin-Luther-Universität Halle-Wittenberg",,2,,113,138,"journal article","stated without evidence",German,,"It is also published in a book: ""Eozäne Wirbeltiere des Geiseltales"" published by H. W. Matthes, Halle (Saale), 1977",,,"2004-09-27 07:48:10","2004-09-28 00:48:10"
"P. Mannion","P. Mannion",,38196,"E. N.",Kurochkin,"N. V.",Zelenkov,"A. O. Averianov, S. V. Leshchinskiy",2011,"A new taxon of birds (Aves) from the Early Cretaceous of Western Siberia, Russia","Journal of Systematic Palaeontology",,9,1,109,117,"journal article","stated with evidence",English,,,,,"2011-10-18 23:20:32","2011-10-18 23:20:32"
"P. Mannion","P. Mannion","P. Mannion",49777,"I. T.",Kuzmin,"P. P.",Skutschas,"O. I. Grigorieva, S. A. Krasnolutskii",2013,"Goniopholidid crocodylomorph from the Middle Jurassic Berezovsk Quarry Locality (Western Siberia, Russia)","Proceedings of the Zoological Institute of the Russian Academy of Sciences",,317,4,452,458,"journal article","stated with evidence",English,,,,,"2014-01-09 12:12:49","2014-01-10 05:13:58"
"J. Alroy","J. Alroy",,34057,S.,Ladevèze,P.,Missiaen,"T. Smith",2010,"First skull of Orthaspidotherium edwardsi (Mammalia, ""Condylarthra"") from the late Paleocene of Berru (France) and phylogenetic affinities of the enigmatic European family Pleuraspidotheriidae","Journal of Vertebrate Paleontology",,30,5,1559,1578,"journal article","stated with evidence",English,,,,,"2010-10-20 19:20:03","2010-10-21 13:20:03"
"J. Hunter","J. Hunter","J. Hunter",6041,K.,Lambrecht,,,,1935,"Drei neue Vogelformen aus dem Lutétien des Geiseltales","Nova Acta Leop., (n. f.)",,3,,361,367,"journal article","stated without evidence",German,,"Data for this reference derive from Emslie, 1988 (Ref. No. 4416).",,,"2002-03-18 10:28:21","2003-03-14 07:21:30"
"M. Clapham","J. Karr","M. Clapham",46234,A.,Lameere,G.,Severin,,1897,"Les insectes de Bernissart","Annales de la Société Entomologique de Belgique",,41,,35,38,"journal article","stated with evidence",French,,,,,"2013-04-10 10:37:31","2013-04-10 15:35:54"
"P. Holroyd","P. Holroyd",,58692,F.,"Lapparent de Broin",,,,2003,"Neochelys sp. (Chelonii, Erymnochelyinae), from Silveirinha, early Eocene, Portugal","Ciencias da Terra (UNL)",,15,,117,132,"journal article","stated without evidence",English,,,,,"2016-04-01 13:04:42","2016-04-02 05:04:42"
"M. Carrano","M. Carrano","M. Carrano",40059,"S. V.",Leshchinskiy,"A. V.",Faingerts,"A. V. Voronkevich, E. N. Mashchensko, A. O. Averianov",2000,"Predvaritel'nye rezul'taty izucheniy mestonakhozhdenii Shestakovskogo kompleksa rannemelovykh pozvonochnykh [Preliminary results of the investigation of the Shestakovo localities of Early Cretaceous vertebrates]","Materialy Regional'noy Konferentsii Geologov Sibiri Dal'nego Vostoka i Severo-Vostoka Rossii. Gala Press, Tomsk","A.V. Komarov",2,,363,366,"book/book chapter","stated with evidence",Russian,,,,,"2012-02-10 07:12:28","2012-02-10 07:15:05"
"P. Mannion","J. Tennant","M. Carrano",45545,M.,"Llandres Serrano",R.,Vullo,"J. Marugan-Lobon, F. Ortega, A. D. Buscalioni",2013,"An articulated hindlimb of a basal iguanodont (Dinosauria, Ornithopoda) from the Early Cretaceous Las Hoyas Lagerstätte (Spain)","Geological Magazine",,150,3,527,576,"journal article","stated without evidence",English,10.1017/S0016756813000095,,,,"2013-03-12 21:51:37","2014-07-15 08:52:44"
"R. Butler","R. Butler",,31125,M.,Lockley,"T. J.",Logue,"J. J. Moratalla, A. P. Hunt, R. J. Schultz, J. W. Robinson",1995,"The fossil trackway Pteraichnus is pterosaurian, not crocodilian: implications for the global distribution of pterosaur tracks",Ichnos,,4,,7,20,"journal article","stated with evidence",English,,,,,"2009-11-06 04:54:38","2009-11-06 23:54:38"
"J. Alroy","J. Wertheim","J. Alroy",11708,"R. P.","Longinos Navás",,,,1922,"Algunos Fósiles de Libros (Teruel)","Boletín de la Sociedad Ibérica de Ciencias Naturales",,21,,52,61,"journal article","stated with evidence",Spanish,,,,,"2004-09-21 09:55:08","2009-10-30 03:17:00"
"P. Mannion","J. Tennant","J. Tennant",45969,"A. V.",Lopatin,"A. O.",Averianov,,2005,"A new docodont (Docodonta, Mammalia) from the Middle Jurassic of Siberia","General Biology",,405,2,434,436,"journal article","stated with evidence",English,,,,,"2013-03-26 02:37:07","2013-03-26 02:40:23"
"M. Carrano","M. Carrano","M. Carrano",17882,"A. V.",Lopatin,"A. O.",Averianov,,2006,"Mesozoic mammals of Russia","9th International Symposium on Mesozoic Terrestrial Ecosystems and Biota, Abstracts and Proceedings Volume",,,,67,70,"journal article","stated without evidence",English,,,ETE,,"2006-07-06 14:50:29","2006-07-08 05:43:34"
"P. Mannion","J. Tennant",,44659,"A. V.",Lopatin,"A. O.",Averianov,,2007,"The earliest Asiatic pretribosphenic mammal (Cladotheria, Amphitheriidae) from the Middle Jurassic of Siberia","Doklady Biological Sciences",,417,,432,434,"journal article","stated with evidence",English,,,,,"2013-02-05 04:09:20","2013-02-05 04:09:20"
"P. Mannion","J. Tennant",,45970,"A. V.",Lopatin,"A. O.",Averianov,"E. N. Maschenko, S. V. Leschinskiy",2009,"Early Cretaceous mammals of Western Siberia: 2. Tegotheriidae","Paleontological Journal",,43,4,92,100,"journal article","stated with evidence",English,,,,,"2013-03-26 02:45:46","2013-03-26 02:45:46"
"R. Benson","R. Benson",,39702,"A. V.",Lopatin,"E. N.",Maschenko,"A. O. Averianov, A. S. Rezvyi, P. P. Skutschas, S. V. Leschinskiy",2005,"Early Cretaceous Mammals from Western Siberia: 1. Tinodontidae","Paleontological Journal",,39,5,523,534,"journal article","stated without evidence",English,,,,,"2012-01-25 02:06:42","2012-01-25 02:06:42"
"R. Benson","R. Benson","R. Benson",39755,"A. V.",Lopatin,"E. N.",Maschenko,"A. O. Averianov",2010,"A new genus of triconodont mammals from the Early Cretaceous of western Siberia","Doklady biological Sciences",,433,,282,285,"journal article","stated without evidence",English,10.1134/S0012496610040137,,,,"2012-01-26 01:15:47","2012-01-26 01:17:13"
"M. Carrano","M. Carrano",,59918,"A. V.",Lopatin,"E. N.",Mashchenko,"K. K. Tarasenko, A. V. Podlesnov, N. V. Demidenko, E. A. Kuzmina",2015,"A unique burial site of Early Cretaceous vertebrates in western Siberia (the Shestakovo 3 locality, Kemerovo Province, Russia)","Doklady Biological Sciences",,462,,148,151,"journal article","stated without evidence",English,,,,,"2016-07-21 15:40:18","2016-07-22 06:40:18"
"M. Clapham","M. Clapham",,56924,"E. D.",Lukashevich,A.,Arillo,,2016,"New Eoptychoptera (Insecta: Diptera, Ptychopteridae) from the Lower Cretaceous of Spain","Cretaceous Research",,58,,254,264,"journal article","stated with evidence",English,,,,,"2015-11-13 16:50:54","2015-11-14 09:50:54"
"M. Carrano","M. Carrano","M. Carrano",14142,R.,Lydekker,,,,1888,,"Catalogue of the Fossil Reptilia and Amphibia in the British Museum (Natural History). Part I. Containing the Orders Ornithosauria, Crocodilia, Dinosauria, Squamata, Rhynchocephalia, and Proterosauria. British Museum (Natural History), London",,,,1,309,"book/book chapter","stated without evidence",English,,,ETE,,"2005-08-11 12:35:36","2005-08-12 05:35:36"
"P. Mannion","P. Mannion","P. Mannion",47874,"P. D.",Mannion,"P. M.",Barrett,,2013,"Additions to the sauropod dinosaur fauna of the Cenomanian (early Late Cretaceous) Kem Kem beds of Morocco: Palaeobiogeographical implications of the mid-Cretaceous African sauropod fossil record","Cretaceous Research",,45,,49,59,"journal article","stated with evidence",English,10.1016/j.cretres.2013.07.007,,,,"2013-08-05 03:07:45","2013-09-09 02:11:07"
"P. Mannion","P. Mannion",,38160,"L. D.",Martin,,,,1992,"The status of the Late Paleocene birds Gastornis and Remiornis","Los Angeles: Natural History Museum of Los Angeles County (Sciences series)",,36,,97,108,"serial monograph","stated with evidence",English,,,,,"2011-10-14 20:06:29","2011-10-14 20:06:29"
"P. Mannion","P. Mannion",,56864,T.,Martin,J.,Marugán-Lobón,"R. Vullo, H. Martín-Abad, Z.-X. Luo, A. D. Buscalioni",2015,"A Cretaceous eutriconodont and integument evolution in early mammals",Nature,,526,,380,384,"journal article","stated with evidence",English,,,,,"2015-11-05 10:47:49","2015-11-06 03:47:49"
"P. Mannion","P. Mannion",,53670,"J. E.",Martin,T.,Smith,"F. de Lapparent de Broin, F. Escuillié, M. Delfino",2014,"Late Palaeocene eusuchian remains from Mont de Berru, France, and the origin of the alligatoroid Diplocynodon","Zoological Journal of the Linnean Society",,172,,867,891,"journal article","stated with evidence",English,,,,,"2014-12-02 07:40:52","2014-12-03 00:40:52"
"M. Clapham","M. Clapham",,49227,X.,Martínez-Delclòs,,,,1993,"Blátidos (Insecta, Blattodea) del Cretácico Inferior de España. Familias Mesoblattinidae, Blattulidae y Poliphagidae","Boletín Geológico y Minero",,104,,516,538,"journal article","stated with evidence",Spanish,,,,,"2013-11-30 00:19:04","2013-11-30 17:19:04"
"M. Clapham","M. Clapham",,45506,X.,Martínez-Delclòs,A.,Nel,"Y. A. Popov",1995,"Systematics and functional morphology of Iberonepa romerali n. gen. and sp., Belostomatidae from the Spanish Lower Cretaceous (Insecta, Heteroptera)","Journal of Paleontology",,69,,496,508,"journal article","stated with evidence",English,,,,,"2013-03-11 11:06:50","2013-03-11 11:06:50"
"M. Carrano","M. Carrano",,36988,"E. N.",Maschenko,"A. V.",Lopatin,,1998,"First record of an Early Cretaceous triconodont mammal from Siberia","Bulletin de l'Institute Royal des Sciences Naturelles de Belgique, Sciences de la Terre",,68,,233,236,"journal article","stated with evidence",English,,,,,"2011-08-07 03:10:55","2011-08-07 03:10:55"
"R. Benson","R. Benson","R. Benson",39703,"E. N.",Maschenko,"A. V.",Lopatin,,2002,"A new Early Cretaceous mammal from Western Siberia","Doklady Biological Sciences",,386,,475,477,"journal article","stated without evidence",English,,,,,"2012-01-25 02:19:16","2012-01-26 21:44:20"
"P. Mannion","J. Tennant","J. Tennant",45980,"E. N.",Maschenko,"A. V.",Lopatin,"A. V. Voronkevich",2002,"A new genus of the tegotheriid docodonts (Docodonta, Tegotheriidae) from the Early Cretaceous of West Siberia","Russian Journal of Theriology",,1,2,75,81,"journal article","stated with evidence",English,,,,,"2013-03-26 22:38:23","2013-03-26 23:18:42"
"A. Turner","H. O'Regan","H. O'Regan",13377,F.,Masini,T.,Giannini,"L. Abbazzi, F. Fanfani, M. Delfino, L.C. Maul, D. Torre",2005,"A latest Biharian small vertebrate fauna from the lacustrine succession of San Lorenzo (Sant'Arcangelo Basin, Basilicata, Italy)","Quaternary International",,131,,79,93,"journal article","stated without evidence",,,,PACED,,"2005-04-27 03:31:18","2005-04-27 20:31:18"
"J. Alroy","S. Kuemmell","S. Kuemmell",12102,"H. W.",Matthes,,,,1952,"I. Abhandlung: Die Creodontier aus der mitteleozänen Braunkohle des Geiseltals (I. Part: The Creodonta from the Middle Eocene of Geiseltal)","Hallesches Jahrbuch für mitteldeutsche Erdgeschichte",,1,,201,240,"journal article","stated without evidence",German,,,,,"2004-11-30 01:19:05","2004-12-01 00:46:47"
"J. Alroy","S. Kuemmell","S. Kuemmell",11940,"H. W.",Matthes,,,,1972,"Propalaeotherium hassiacum HAUPT 1925 (Equidae) aus dem Mitteleozän (Lutet) des Geiseltales. (Propalaeotherium hassiacum from the Middle Eocene (Lutet) of the Geiseltal)","Hallesches Jahrbuch für Mitteldeutsche Erdgeschichte",,11,,37,40,"journal article","stated without evidence",German,,"Citation was like this: Hall. Jb. f. Mitteldt. Erdg. 11(1969) S. 37-40 Leipzig 1972",5%,38940,"2004-10-29 06:25:52","2004-10-29 23:25:52"
"J. Alroy","S. Kuemmell","J. Alroy",11938,"H. W.",Matthes,,,,1977,"Die Equiden aus dem Eozän des Geiseltales. I. Die Zähne. (The Equidae from the Eocene of the Geiseltal. I. The teeth)","Wissenschaftliche Beiträge der Martin-Luther-Universität Halle-Wittenberg P5: Eozäne Wirbeltiere des Geiseltales",,1977,2,5,39,"journal article","stated without evidence",German,,"Citation of literature is as follows: Wissenschaftliche Beiträge 1977/2 (P5)",,,"2004-10-29 03:14:55","2005-09-27 10:57:14"
"J. Alroy","J. Alroy","J. Alroy",28430,G.,Mayr,M.,Poschmann,"M. Wuttke",2006,"A nearly complete skeleton of the fossil galliform bird Palaeortyx from   the late Oligocene of Germany","Acta Ornithologica",,41,2,129,135,"journal article","stated with evidence",English,,,,,"2008-11-09 14:43:51","2008-12-06 14:32:20"
"M. Carrano","M. Carrano","M. Carrano",10491,G.,McGowan,,,,1996,"Albanerpetonid amphibians from the Jurassic (Bathonian) of southern England","The Continental Jurassic. Museum of Northern Arizona Bulletin","M. Morales",60,,227,234,"book/book chapter","stated without evidence",,,,,,"2004-05-11 13:20:33","2004-05-12 06:21:09"
"M. Carrano","M. Carrano",,47097,"G. J.",McGowan,,,,1998,"The development and function of the atlanto-axial joint in albanerpetontid amphibians","Journal of Herpetology",,32,1,116,122,"journal article","stated without evidence",English,,,,,"2013-06-07 05:09:47","2013-06-07 05:09:47"
"M. Carrano","M. Carrano",,42672,"G. J.",McGowan,,,,2002,"Albanerpetontid amphibians from the Lower Cretaceous of Spain and Italy: a description and reconsideration of their systematics","Zoological Journal of the Linnean Society",,135,1,1,32,"journal article","stated with evidence",English,,,,,"2012-08-18 06:42:39","2012-08-18 06:42:39"
"M. Carrano","M. Carrano",,31237,"G. J.",McGowan,"P. C.",Ensom,,1997,"Albanerpetontid amphibians from the Lower Cretaceous of the Isle of Purbeck, Dorset","Proceedings of the Dorset Natural History and Archaeological Society",,118,,113,117,"journal article","stated without evidence",English,,"issue date 1996; published June 1997",ETE,,"2009-11-24 11:56:23","2009-11-25 06:56:23"
"P. Mannion","P. Mannion",,44194,G.,McGowan,"S. E.",Evans,,1995,"Albanerpetontid amphibians from the Cretaceous of Spain",Nature,,373,,143,145,"journal article","stated with evidence",English,,,,,"2013-01-07 22:50:07","2013-01-07 22:50:07"
"J. Alroy","J. Alroy",,31010,"M . E.",McNamara,"P. J.",Orr,"S. L. Kearns, L. Alcalá, P. Anadón, E. Peñalver Mollá",2009,"Soft-tissue preservation in Miocene frogs from Libros, Spain: Insights into the genesis of decay microenvironments",Palaios,,24,2,104,117,"journal article","none discussed",English,,,,,"2009-10-29 10:01:40","2009-10-30 04:01:40"
"J. Head","J. Head","J. Alroy",9154,"C. A. M.",Meszoely,"R. L. E.",Ford,,1976,"Eocene glass-lizard Ophiosaurus (Anguidae) from the British Islands",Copeia,,1976,2,407,408,"journal article","stated without evidence",English,,,5%,32040,"2003-09-13 07:20:02","2007-05-09 11:04:17"
"J. Alroy","E. Leckey","J. Alroy",10613,"C. A. M.",Meszoely,"Z. V.",Spinar,"R. L. E. Ford",1984,"A new palaeobatrachid frog from the Eocene of the British Isles","Journal of Vertebrate Paleontology",,3,3,143,147,"journal article","stated with evidence",English,,,,,"2004-05-25 13:52:11","2009-11-01 07:32:33"
"M. Carrano","M. Carrano",,27913,"S. J.",Metcalf,"R. F.",Vaughan,"M. J. Benton, J. Cole, M. J. Simms, D. L. Dartnall",1992,"A new Bathonian (Middle Jurassic) microvertebrate site, within the Chipping Norton Limestone Formation at Honsleasow Quarry, Gloucestershire","Proceedings of the Geologists' Association",,103,,321,342,"journal article","stated without evidence",English,,,ETE,,"2008-08-07 14:19:11","2008-08-08 07:19:11"
"M. Carrano","M. Carrano","J. Alroy",8380,"S. J.",Metcalf,"R. J.",Walker,,1994,"A new Bathonian microvertebrate locality in the English Midlands","In the Shadow of the Dinosaurs: Early Mesozoic Tetrapods, edited by N. C. Fraser and H.-D. Sues. Cambridge University Press, Cambridge",,,,322,331,"book/book chapter","stated without evidence",English,,,5%,12660,"2003-04-09 20:15:55","2005-03-05 10:01:31"
"J. Alroy","E. Leckey","J. Alroy",12472,T.,Mors,F.,Hocht,"B. Wutzler",2000,"Die erst Wirbeltierfauna aus der miozanen Braunkohle der Niederrheinischen Bucht (Ville-Schichten, Tagebau Hambach) [The first vertebrate fauna from the Miocene Ville Series of the Lower Rhine Embayment (Hambach open cast mine, western Germany)]","Paläontologische Zeitschrift",,74,1/2,145,170,"journal article","stated without evidence",German,,,,,"2005-01-27 08:21:33","2006-12-31 09:02:41"
"M. Carrano","M. Carrano",,55547,"H. N.",Moseley,,,,1883,"The Bernissart Iguanodon",Nature,,28,723,439,443,"journal article","stated without evidence",English,,,,,"2015-06-19 15:39:57","2015-06-20 06:39:57"
"C. Labandeira","A. Spencer-Lee","J. Karr",8943,"M. B.",Mostovski,X.,Martínez-Delclòs,,2000,"New Nemestrinoidea (Diptera: Brachycera) from the Upper Jurassic - Lower Cretaceous of Eurasia, taxonomy, and palaeobiology","Entomological Problems",,31,2,137,148,"journal article","stated with evidence",English,,,ETE,,"2003-08-06 21:13:20","2011-09-24 04:52:03"
"J. Alroy","R. Whatley","R. Whatley",11648,C.,Mourer-Chauviré,,,,1988,"Le gisement du Bretou (Phosphorites du Quercy, Tarn-et-Garonne, France) et sa faune des vertebres de l'Eocene superieur; 2. Oiseaux. [Le Bretou locality (Quercy Phosphorites, Tarn-et-Garonne, France) and its late Eocene vertebrate fauna; 2. Birds.]","Palaeontographica Abteilung A",,205,1-6,29,50,"journal article","stated without evidence",French,,,,,"2004-09-08 13:35:15","2004-09-09 06:35:15"
"P. Mannion","P. Mannion","P. Mannion",38102,C.,Mourer-Chauviré,,,,1994,"A large owl from the Paleocene of France",Palaeontology,,37,2,339,348,"journal article","stated with evidence",English,,,,,"2011-10-12 00:29:33","2011-10-12 23:27:25"
"J. Alroy","E. Leckey","L. van den Hoek Ostende",12482,T.,Mörs,"D. C.",Kalthoff,,2004,"A new species of Karydomys (Rodentia, Mammalia) and a systematic re-evaluation of this rare Eurasian Miocene hamster",Palaeontology,,47,6,1387,1405,"journal article","stated without evidence",German,,,,,"2005-01-27 14:37:16","2008-03-16 06:29:41"
"M. Clapham","M. Clapham","M. Clapham",39071,A.,Nel,X.,Delclos,"A. Hutin",2005,"Mesozoic chrysopid-like Planipennia: a phylogenetic approach (Insecta: Neuroptera)","Annales de la Société Entomologique de France",,41,,29,69,"journal article","stated with evidence",English,,,,,"2012-01-03 04:33:30","2013-09-17 13:16:55"
"M. Clapham","J. Karr","M. Clapham",35441,A.,Nel,X.,Martínez-Delclòs,,1993,"Nuevos Zygoptera y Anisoptera (Insecta: Odonata) en el Cretacico inferior de Espana","Estudios Geológicos",,49,,351,359,"journal article","stated with evidence",Spanish,,,,,"2011-03-06 08:25:55","2014-06-08 01:07:48"
"M. Carrano","K. Maguire","M. Carrano",16510,"L. A.",Nessov,,,,1995,"Dinozavri severnoi Yevrazii: Novye dannye o sostave kompleksov, ekologii i paleobiogeografii [Dinosaurs of northern Eurasia: new data about assemblages, ecology, and paleobiogeography]","Institute for Scientific Research on the Earth's Crust, St. Petersburg State University, St. Petersburg",,,,1,156,"book/book chapter","stated without evidence",Russian,,,ETE,,"2006-01-25 12:58:07","2006-11-16 09:35:09"
"M. Uhen","M. Uhen","M. Uhen",26261,"E. T.",Newton,,,,1882,"The Vertebrata of the Forest Bed Series of Norfolk and Suffolk","Memoirs of the Geological Survey. England and Wales",,,,1,143,"journal article","stated without evidence",English,,,,,"2008-01-18 07:04:34","2011-05-04 00:20:30"
"M. Uhen","M. Uhen","M. Uhen",16564,"E. T.",Newton,,,,1889,"Some additions to the vertebrate fauna of the Norfolk ""preglacial Forest Bed"" with description of a new species of deer (Cervus rectus)","Geological Magazine",,6,4,145,149,"journal article","stated without evidence",English,,"New Series, Decade III",,,"2006-02-03 08:03:35","2016-07-14 04:10:47"
"J. Alroy","J. Alroy",,28416,"G. K.",Noble,,,,1928,"Two new fossil amphibia of zoögeographic importance from the Miocene of Europe","American Museum Novitates",,303,,1,13,"journal article","stated with evidence",English,,,,,"2008-11-07 13:08:19","2008-11-08 08:08:19"
"A. Behrensmeyer","A. Behrensmeyer","M. Kosnik",5691,"D. B.",Norman,,,,1987,"A mass accumulation of vertebrates from the Lower Cretaceous of Nehden (Sauerland), West Germany","Proceedings of the Royal Society, London B",,230,,215,255,,"stated without evidence",,,"ETE reference number 1447",ETE,1447,"2002-03-04 16:40:46","2002-03-05 11:40:46"
"M. Carrano","M. Carrano","J. Alroy",11798,"D. B.",Norman,"P. M.",Barrett,,2002,"Ornithischian dinosaurs from the Lower Cretaceous (Berriasian) of England","Special Papers in Palaeontology",,68,,161,189,"journal article","stated without evidence",English,,,ETE,,"2004-10-19 12:53:09","2009-11-23 12:14:13"
"A. Turner","H. O'Regan","H. O'Regan",9580,"H. J.","O'Regan",,,,2003,"Reidentifications and synonomies of European mammals ",,,,,,,unpublished,"stated without evidence",,,,PACED,,"2003-12-17 03:17:13","2003-12-17 22:17:13"
"M. Carrano","M. Carrano","M. Carrano",33846,F.,Ortega,F.,Escaco,"J. L. Sanz",2010,"A bizarre, humped Carcharodontosauria (Theropoda) from the Lower Cretaceous of Spain",Nature,,467,,203,206,"journal article","stated with evidence",English,10.1038/nature09181,,ETE,,"2010-09-08 10:45:14","2010-09-09 07:43:29"
"R. Butler","R. Butler","M. Carrano",32089,"G. S.",Paul,,,,2008,"A revised taxonomy of the iguanodont dinosaur genera and species","Cretaceous Research",,29,2,192,216,"journal article","stated with evidence",English,10.1016/j.cretres.2007.04.009,,,,"2010-02-17 13:34:37","2010-05-25 06:38:53"
"J. Mueller","T. Liebrecht",,54680,S.,Peigné,M.,Vianey-Liaud,"T. Pélissié, B. Sigé",2014,"Valbro : un nouveau site à vertébrés de l’Oligocène inférieur (MP22) de France (Quercy). I – Contexte géologique ; Mammalia : Rodentia, Hyaenodontida, Carnivora [Valbro: A new site of vertebrates from the early Oligocene (MP22) of France (Quercy). I – Geological context; Mammalia: Rodentia, Hyaenodontida, Carnivora]","Annales de Paléontologie",,100,1,1,45,"journal article","stated without evidence",French,10.1016/j.annpal.2013.11.002,"with English abstract",,,"2015-03-21 13:36:12","2015-03-22 05:36:12"
